 
****************************************
Report : power
        -net
        -analysis_effort low
        -include_input_nets
        -sort_mode net_switching_power
Design : inccomp
Version: F-2011.09-SP3
Date   : Sun May 12 15:31:34 2019
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mg.lowpower/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
inccomp                5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
n80                            1.893    0.990    0.0020      0.0023  a
N10                            1.255    0.010    0.0030      0.0023  a
n87                            1.438    0.000    0.0020      0.0017  a
n88                            1.438    0.320    0.0020      0.0017  a
n79                            1.915    0.023    0.0015      0.0017  a
N9                             1.255    0.010    0.0020      0.0015  a
C[4]                           0.310    0.320    0.0080      0.0015  a
syncha[3]                      4.831    0.975    0.0005      0.0015  a
N11                            1.255    0.977    0.0015      0.0011  a
C[5]                           0.310    0.320    0.0040      0.0007  a
rst                            2.010    0.004    0.0005      0.0006  a
C[6]                           0.310    0.320    0.0020      0.0004  a
C[7]                           0.310    0.000    0.0000      0.0000  a
N12                            1.255    0.000    0.0000      0.0000  a
N13                            1.255    0.000    0.0000      0.0000  a
N14                            1.255    0.000    0.0000      0.0000  a
N15                            1.255    0.000    0.0000      0.0000  a
lt_gt_37/B[4]                  7.066    0.000    0.0000      0.0000  d
lt_gt_37/B[5]                  7.073    0.000    0.0000      0.0000  d
lt_gt_37/B[6]                  7.066    0.000    0.0000      0.0000  d
lt_gt_37/B[7]                  4.921    0.000    0.0000      0.0000  d
n64                            3.929    1.000    0.0000      0.0000  a
n69                            1.882    1.000    0.0000      0.0000  a
n73                            1.915    1.000    0.0000      0.0000  a
n74                            1.893    1.000    0.0000      0.0000  a
syncha[4]                      4.831    0.000    0.0000      0.0000  a
syncha[5]                      4.831    0.000    0.0000      0.0000  a
syncha[6]                      4.831    0.000    0.0000      0.0000  a
syncha[7]                      4.057    0.000    0.0000      0.0000  a
--------------------------------------------------------------------------------
Total (92 nets)                                             14.6775 uW
1
